Date,Open,High,Low,Close,Adj Close**
"May 30, 2024","5,259.77","5,260.21","5,222.10","5,235.48","5,235.48"
"May 29, 2024","5,278.73","5,282.27","5,262.70","5,266.95","5,266.95"
"May 28, 2024","5,315.91","5,315.91","5,280.89","5,306.04","5,306.04"
"May 24, 2024","5,281.45","5,311.65","5,278.39","5,304.72","5,304.72"
"May 23, 2024","5,340.26","5,341.88","5,256.93","5,267.84","5,267.84"
"May 22, 2024","5,319.28","5,323.18","5,286.01","5,307.01","5,307.01"
"May 21, 2024","5,298.69","5,324.32","5,297.87","5,321.41","5,321.41"
"May 20, 2024","5,305.35","5,325.32","5,302.40","5,308.13","5,308.13"
"May 17, 2024","5,303.10","5,305.45","5,283.59","5,303.27","5,303.27"
"May 16, 2024","5,310.07","5,325.49","5,296.19","5,297.10","5,297.10"
"May 15, 2024","5,263.26","5,311.76","5,263.26","5,308.15","5,308.15"
"May 14, 2024","5,221.10","5,250.37","5,217.98","5,246.68","5,246.68"
"May 13, 2024","5,233.08","5,237.26","5,211.16","5,221.42","5,221.42"
"May 10, 2024","5,225.49","5,239.66","5,209.68","5,222.68","5,222.68"
"May 09, 2024","5,189.03","5,215.30","5,180.41","5,214.08","5,214.08"
"May 08, 2024","5,168.98","5,191.95","5,165.86","5,187.67","5,187.67"
"May 07, 2024","5,187.20","5,200.23","5,178.96","5,187.70","5,187.70"
"May 06, 2024","5,142.42","5,181.00","5,142.42","5,180.74","5,180.74"
"May 03, 2024","5,122.78","5,139.12","5,101.22","5,127.79","5,127.79"
"May 02, 2024","5,049.32","5,073.21","5,011.05","5,064.20","5,064.20"
"May 01, 2024","5,029.03","5,096.12","5,013.45","5,018.39","5,018.39"
"Apr 30, 2024","5,103.78","5,110.83","5,035.31","5,035.69","5,035.69"
"Apr 29, 2024","5,114.13","5,123.49","5,088.65","5,116.17","5,116.17"
"Apr 26, 2024","5,084.65","5,114.62","5,073.14","5,099.96","5,099.96"
"Apr 25, 2024","5,019.88","5,057.75","4,990.58","5,048.42","5,048.42"
"Apr 24, 2024","5,084.86","5,089.48","5,047.02","5,071.63","5,071.63"
"Apr 23, 2024","5,028.85","5,076.12","5,027.96","5,070.55","5,070.55"
"Apr 22, 2024","4,987.33","5,038.84","4,969.40","5,010.60","5,010.60"
"Apr 19, 2024","5,005.44","5,019.02","4,953.56","4,967.23","4,967.23"
"Apr 18, 2024","5,031.52","5,056.66","5,001.89","5,011.12","5,011.12"
"Apr 17, 2024","5,068.97","5,077.96","5,007.25","5,022.21","5,022.21"
"Apr 16, 2024","5,064.59","5,079.84","5,039.83","5,051.41","5,051.41"
"Apr 15, 2024","5,149.67","5,168.43","5,052.47","5,061.82","5,061.82"
"Apr 12, 2024","5,171.51","5,175.03","5,107.94","5,123.41","5,123.41"
"Apr 11, 2024","5,172.95","5,211.78","5,138.77","5,199.06","5,199.06"
"Apr 10, 2024","5,167.88","5,178.43","5,138.70","5,160.64","5,160.64"
"Apr 09, 2024","5,217.03","5,224.81","5,160.78","5,209.91","5,209.91"
"Apr 08, 2024","5,211.37","5,219.57","5,197.35","5,202.39","5,202.39"
"Apr 05, 2024","5,158.95","5,222.18","5,157.21","5,204.34","5,204.34"
"Apr 04, 2024","5,244.05","5,256.59","5,146.06","5,147.21","5,147.21"
"Apr 03, 2024","5,194.37","5,228.75","5,194.37","5,211.49","5,211.49"
"Apr 02, 2024","5,204.29","5,208.34","5,184.05","5,205.81","5,205.81"
"Apr 01, 2024","5,257.97","5,263.95","5,229.20","5,243.77","5,243.77"
"Mar 28, 2024","5,248.03","5,264.85","5,245.82","5,254.35","5,254.35"
"Mar 27, 2024","5,226.31","5,249.26","5,213.92","5,248.49","5,248.49"
"Mar 26, 2024","5,228.85","5,235.16","5,203.42","5,203.58","5,203.58"
"Mar 25, 2024","5,219.52","5,229.09","5,216.09","5,218.19","5,218.19"
"Mar 22, 2024","5,242.48","5,246.09","5,229.87","5,234.18","5,234.18"
"Mar 21, 2024","5,253.43","5,261.10","5,240.66","5,241.53","5,241.53"
"Mar 20, 2024","5,181.69","5,226.19","5,171.55","5,224.62","5,224.62"
"Mar 19, 2024","5,139.09","5,180.31","5,131.59","5,178.51","5,178.51"
"Mar 18, 2024","5,154.77","5,175.60","5,145.47","5,149.42","5,149.42"
"Mar 15, 2024","5,123.31","5,136.86","5,104.35","5,117.09","5,117.09"
"Mar 14, 2024","5,175.14","5,176.85","5,123.30","5,150.48","5,150.48"
"Mar 13, 2024","5,173.49","5,179.14","5,151.88","5,165.31","5,165.31"
"Mar 12, 2024","5,134.30","5,179.87","5,114.48","5,175.27","5,175.27"
"Mar 11, 2024","5,111.96","5,124.66","5,091.14","5,117.94","5,117.94"
"Mar 08, 2024","5,164.46","5,189.26","5,117.50","5,123.69","5,123.69"
"Mar 07, 2024","5,132.38","5,165.62","5,128.21","5,157.36","5,157.36"
"Mar 06, 2024","5,108.03","5,127.97","5,092.22","5,104.76","5,104.76"
"Mar 05, 2024","5,110.52","5,114.54","5,056.82","5,078.65","5,078.65"
"Mar 04, 2024","5,130.99","5,149.67","5,127.18","5,130.95","5,130.95"
"Mar 01, 2024","5,098.51","5,140.33","5,094.16","5,137.08","5,137.08"
"Feb 29, 2024","5,085.36","5,104.99","5,061.89","5,096.27","5,096.27"
"Feb 28, 2024","5,067.20","5,077.37","5,058.35","5,069.76","5,069.76"
"Feb 27, 2024","5,074.60","5,080.69","5,057.29","5,078.18","5,078.18"
"Feb 26, 2024","5,093.00","5,097.66","5,068.91","5,069.53","5,069.53"
"Feb 23, 2024","5,100.92","5,111.06","5,081.46","5,088.80","5,088.80"
"Feb 22, 2024","5,038.83","5,094.39","5,038.83","5,087.03","5,087.03"
"Feb 21, 2024","4,963.03","4,983.21","4,946.00","4,981.80","4,981.80"
"Feb 20, 2024","4,989.32","4,993.71","4,955.02","4,975.51","4,975.51"
"Feb 16, 2024","5,031.13","5,038.70","4,999.52","5,005.57","5,005.57"
"Feb 15, 2024","5,003.14","5,032.72","4,999.44","5,029.73","5,029.73"
"Feb 14, 2024","4,976.44","5,002.52","4,956.45","5,000.62","5,000.62"
"Feb 13, 2024","4,967.94","4,971.30","4,920.31","4,953.17","4,953.17"
"Feb 12, 2024","5,026.83","5,048.39","5,016.83","5,021.84","5,021.84"
"Feb 09, 2024","5,004.17","5,030.06","5,000.34","5,026.61","5,026.61"
"Feb 08, 2024","4,995.16","5,000.40","4,987.09","4,997.91","4,997.91"
"Feb 07, 2024","4,973.05","4,999.89","4,969.05","4,995.06","4,995.06"
"Feb 06, 2024","4,950.16","4,957.77","4,934.88","4,954.23","4,954.23"
"Feb 05, 2024","4,957.19","4,957.19","4,918.09","4,942.81","4,942.81"
"Feb 02, 2024","4,916.06","4,975.29","4,907.99","4,958.61","4,958.61"
"Feb 01, 2024","4,861.11","4,906.97","4,853.52","4,906.19","4,906.19"
"Jan 31, 2024","4,899.19","4,906.75","4,845.15","4,845.65","4,845.65"
"Jan 30, 2024","4,925.89","4,931.09","4,916.27","4,924.97","4,924.97"
"Jan 29, 2024","4,892.95","4,929.31","4,887.40","4,927.93","4,927.93"
"Jan 26, 2024","4,888.91","4,906.69","4,881.47","4,890.97","4,890.97"
"Jan 25, 2024","4,886.66","4,898.15","4,869.34","4,894.16","4,894.16"
"Jan 24, 2024","4,888.56","4,903.68","4,865.94","4,868.55","4,868.55"
"Jan 23, 2024","4,856.80","4,866.48","4,844.37","4,864.60","4,864.60"
"Jan 22, 2024","4,853.42","4,868.41","4,844.05","4,850.43","4,850.43"
"Jan 19, 2024","4,796.28","4,842.07","4,785.87","4,839.81","4,839.81"
"Jan 18, 2024","4,760.10","4,785.79","4,740.57","4,780.94","4,780.94"
"Jan 17, 2024","4,739.13","4,744.23","4,714.82","4,739.21","4,739.21"
"Jan 16, 2024","4,772.35","4,782.34","4,747.12","4,765.98","4,765.98"
"Jan 12, 2024","4,791.18","4,802.40","4,768.98","4,783.83","4,783.83"
"Jan 11, 2024","4,792.13","4,798.50","4,739.58","4,780.24","4,780.24"
"Jan 10, 2024","4,759.94","4,790.80","4,756.20","4,783.45","4,783.45"
"Jan 09, 2024","4,741.93","4,765.47","4,730.35","4,756.50","4,756.50"
"Jan 08, 2024","4,703.70","4,764.54","4,699.82","4,763.54","4,763.54"
"Jan 05, 2024","4,690.57","4,721.49","4,682.11","4,697.24","4,697.24"
"Jan 04, 2024","4,697.42","4,726.78","4,687.53","4,688.68","4,688.68"
"Jan 03, 2024","4,725.07","4,729.29","4,699.71","4,704.81","4,704.81"
"Jan 02, 2024","4,745.20","4,754.33","4,722.67","4,742.83","4,742.83"
"Dec 29, 2023","4,782.88","4,788.43","4,751.99","4,769.83","4,769.83"
"Dec 28, 2023","4,786.44","4,793.30","4,780.98","4,783.35","4,783.35"
"Dec 27, 2023","4,773.45","4,785.39","4,768.90","4,781.58","4,781.58"
"Dec 26, 2023","4,758.86","4,784.72","4,758.45","4,774.75","4,774.75"
"Dec 22, 2023","4,753.92","4,772.94","4,736.77","4,754.63","4,754.63"
"Dec 21, 2023","4,724.29","4,748.71","4,708.35","4,746.75","4,746.75"
"Dec 20, 2023","4,764.73","4,778.01","4,697.82","4,698.35","4,698.35"
